Plate	Inplatecount	Sample	FcR2A_N	FcR2A_zebra	FcR2A_Eadp501	FcR2A_RBD wuhan	FcR2A_AMA1	FcR2A_MSP1	FcR2A_HRPII	FcR2A_FL spike	FcR2A_pp28	FcR2A_EBNA1	FcR2A_VCA	FcR2A_BSA	FcR2A_CelTos	FcR2A_CSP
PLATE1	1	HC19-NM039	307	-99	-115.5	979	1315	116408	2612	-98	6262.5	69624.5	59588	288	312	-12
PLATE1	1	HC19-NM040	-13	27252.5	-189	60	763.5	67535	232	-80.5	699	58206	29990	393	73	-24
PLATE1	1	HC19-NM041	-313	-364	-394	19381	8577	50973	86	-231	2702	1928	295	578	803.5	-173.5
PLATE1	1	HC19-NM042	-693.5	94	-919	573	4226	40219.5	-641.5	-637.5	3856	34323	36433	1158	58.5	-623.5
PLATE1	1	HC19-NM043	0	15202	-131.5	205	15914.5	37271	90	51	11389	27474	26823.5	343	235	81
PLATE1	1	HC19-NM044	75.5	734.5	-112	185.5	17167	86725.5	1784.5	-142	52682	83350.5	67611.5	499.5	115.5	-53.5
PLATE1	1	HC19-NM045	101	183.5	-79	-14	1189	83943	147	-120	207	50960	43992	351	238	518
PLATE1	1	HC19-NM046	250.5	46592.5	33	131	1009	63598	210	-32	1277	90490.5	69255	316	241	141
PLATE1	1	HC19-NM047	-638	-321	-685.5	78	629	34978	-571	-478	21953	48139	21770.5	857	-231	-522.5
PLATE1	1	HC19-NM048	421	-24	-27.5	112	1402.5	87176	960	-92.5	28576.5	66909	8678	392	116	-46
PLATE1	1	HC19-NM049	-318	-344.5	-387.5	102.5	2748.5	85192	-38	-301.5	27927	68951	22749.5	562.5	-207.5	-186.5
PLATE1	1	HC19-NM050	700	-391.5	-803.5	125	3977.5	57559	251.5	-905.5	6046.5	64938.5	11184.5	1370.5	-882.5	-710
PLATE1	1	HC19-NM051	70455	12105	-187	3027	69508.5	108296.5	71527	125.5	5223	64011.5	48443	507	18539	33959
PLATE1	1	HC19-NM052	115	292	-145.5	126	24106.5	34337	26707	-15	4256	14023	24654	437	4845	4850
PLATE1	1	HC19-NM053	958.5	-188.5	-38.5	2166	122889.5	156670.5	46156.5	281.5	34386.5	97034	57721	558.5	17644	4301.5
