Plate	Inplatecount	Sample	IgG1_RBD alpha	IgG1_N	IgG1_RBD beta	IgG1_RBD omicron	IgG1_RBD lambda	IgG1_RBD gamma	IgG1_zebra	IgG1_Eadp501	IgG1_RBD delta	IgG1_RBD wuhan	IgG1_AMA1	IgG1_MSP1	IgG1_HRPII	IgG1_Tetanus	IgG1_HCoV-229E	IgG1_HCoV-NL63	IgG1_HCoV-OC43	IgG1_pp28	IgG1_pp65	IgG1_EBNA1	IgG1_VCA	IgG1_FL spike	IgG1_BSA	IgG1_CelTos	IgG1_CSP	IgG1_HCoV-HKU1
PLATE1	1	MBL-059	-946.5	-947	-997	-1130.5	-1090	-1049	-981.5	-1008	-566.5	1161	104698	13489	-610	-1016	5882	13690	116957	24232	2375	103361	78615	18725	1269	1548	2303.5	13394
PLATE1	1	MBL-108	56.5	52.5	27.5	27.5	50.5	65.5	5138	27.5	100	36.5	65454.5	27043.5	286.5	8951	5010	14568.5	56931.5	4625.5	103.5	21673.5	42559	88	56.5	123.5	147.5	2782.5
PLATE1	1	BL739	571	453	52	32.5	7397	96	14178.5	57	543	119	61618.5	45281	286	10762.5	12582	18078	56054.5	8534	113	58317	95197	146.5	65	1853	3596.5	5517
PLATE1	1	BL654	695.5	630	338	2586	337.5	419	44254.5	426	472	419	150175.5	68418	20341.5	499	143137.5	177870	201588	3948	450.5	7060	187718	337	109	665.5	9760	63345
PLATE1	1	BL671	1184	3314	516	165	1362.5	855	1125	110.5	1167	200.5	44790	23083	709	3280.5	3666	29732	102441	63413	207	147558	40677	272	87	208	22306	42585.5
PLATE1	1	BL683	663.5	931.5	244	49.5	258.5	373.5	743.5	223	730	381.5	180149.5	146891	585.5	15013.5	1042.5	8259	11472.5	5947.5	502.5	67041.5	103476	312	114.5	17194	27762.5	2691.5
PLATE1	1	BL701	245	2016.5	146	51	98.5	594	186.5	85	243	121	109605	20958.5	1358	73	36074	41923	39090	1199	139	104303.5	96146	124	75	207.5	1204	171
PLATE1	1	EBV-M	20.5	24.5	27.5	32.5	40.5	51.5	60.5	31	57	30.5	284.5	2462.5	81	1275.5	815	3268.5	7945.5	62.5	53.5	229	191.5	53	48.5	113.5	105.5	263.5
PLATE1	2	EBV-M	19.5	12.5	22.5	22.5	18.5	56.5	52	7.5	41	18.5	285.5	338.5	79.5	367	226	435	1353	62.5	64	1051.5	1304.5	43	50.5	115	88.5	197.5
PLATE1	1	EBV-F	29	15	28.5	29.5	20.5	49.5	35	29	46.5	14	81	140	62.5	3394	2229	4328	34540	244	47	1085	126	43	55	95	101.5	3931
PLATE1	2	EBV-F	27	18.5	24	38	46	61	54	32	54	23	78	75	78.5	294	176	193.5	5344	106	46.5	76	34	45	41	92	104	368.5
PLATE1	7	BACKGROUND0	30.5	17	22.5	28.5	30.5	51	53.5	26.5	45.5	19	29.5	36	74.5	20.5	65	89.5	69	66.5	46.5	8.5	12.5	39.5	31.5	91.5	96	27
PLATE1	3	AF-MIX-S1	32	32	37	52	41.5	63	63	38	53	30	49	62	79	43	99.5	96.5	93.5	71.5	56	26	34	43.5	26	104.5	106	50
PLATE1	3	AF-MIX-S2	17	15	22	30	30	49	45	15	48	13	127	82	83	95.5	131	117	187	75	34	106.5	87.5	34	41	96	100	88.5
PLATE1	3	AF-MIX-S3	30	12	27.5	32	24	58	47.5	27.5	41	13	43	29.5	76	20	80	103	84	53	41	13	39	34	42	79.5	83.5	31.5
PLATE1	3	AF-MIX-S4	19.5	23.5	18.5	26	23.5	56.5	41.5	17.5	34	8.5	19.5	11.5	57	17.5	59	67.5	63.5	51.5	34	11	17.5	35.5	48.5	68	91.5	21.5
PLATE1	3	AF-MIX-S5	23	10	20	31.5	26.5	63	57	20	45.5	15	20	22	79	8.5	66	94.5	64.5	49	39	-2.5	4.5	36	39	82	97	19.5
PLATE1	3	AF-MIX-S6	27.5	23.5	18.5	21.5	22.5	56.5	35.5	12.5	44.5	12.5	28.5	40	66.5	14.5	62.5	89.5	55.5	54.5	30.5	2.5	8.5	40.5	37.5	83.5	89	21.5
PLATE1	3	AF-MIX-S7	15.5	7.5	10	27	14	51	37.5	15	36.5	7	23	28	53	4	53	74	42.5	38	35	-10.5	-3.5	29	43	78.5	95	21.5
PLATE1	8	BACKGROUND0	28.5	23.5	19.5	41.5	34	64.5	55.5	29	48	10.5	27	18.5	78.5	14.5	61.5	90.5	62	63.5	43.5	4	13.5	48.5	30.5	78.5	91	30.5
PLATE1	4	AF-MIX-S1	22.5	14.5	29.5	28	32	62	56.5	26.5	45.5	17.5	70.5	50.5	64.5	32.5	99.5	105.5	93.5	66.5	42.5	32.5	26	42.5	31.5	85.5	108.5	41
PLATE1	4	AF-MIX-S2	19	17.5	9	14	17	46	54	13	24	10	17	24	63	9	66	80.5	62	59	27	-8	1	39	55	75.5	82	25
PLATE1	4	AF-MIX-S3	23	16.5	21.5	28.5	34	51	50	23	35	12.5	34.5	30.5	59.5	21	73	81.5	66	56.5	42	11	20	30.5	38	85	80	28
PLATE1	4	AF-MIX-S4	26.5	18.5	36.5	28.5	28.5	59.5	56.5	21.5	43.5	17.5	36	31.5	66.5	24	71.5	74.5	65.5	62.5	45	13.5	17.5	40.5	32.5	81	97.5	26.5
PLATE1	4	AF-MIX-S5	19.5	20	14	29.5	28.5	52	39	28.5	44.5	13.5	23.5	20.5	65.5	14.5	59	83	65.5	56.5	37.5	4.5	22.5	33.5	34.5	93	88.5	18.5
PLATE1	4	AF-MIX-S6	16	3	12	26	19	49	49.5	15	36	9	18	18	71	5	68	76.5	46	51	32	-8	6.5	40.5	41	76	99	21
PLATE1	4	AF-MIX-S7	12.5	18	17	19.5	17	49	39	9	37	11.5	15	11	62	2	72	75	49	52	30.5	-8.5	-7.5	36.5	50	78	86	27.5
