Plate	Inplatecount	Sample	IgA2_RBD alpha	IgA2_N	IgA2_RBD beta	IgA2_RBD omicron	IgA2_RBD lambda	IgA2_RBD gamma	IgA2_zebra	IgA2_Eadp501	IgA2_RBD delta	IgA2_RBD wuhan	IgA2_AMA1	IgA2_MSP1	IgA2_HRPII	IgA2_Tetanus	IgA2_HCoV-229E	IgA2_HCoV-NL63	IgA2_HCoV-OC43	IgA2_pp28	IgA2_pp65	IgA2_EBNA1	IgA2_VCA	IgA2_FL spike	IgA2_BSA	IgA2_CelTos	IgA2_CSP	IgA2_HCoV-HKU1
PLATE2	1	HC19-KC156	-304	-407	-447	-381	-428.5	-406	-460.5	-467	-276.5	215	95	-458	-438	-478	-248	40.5	129	425.5	-340.5	89.5	751	-134	567	475	-271	1244.5
PLATE2	1	HC19-KC157	-51.5	-49.5	-71.5	-66.5	-59.5	-34.5	-43.5	-78.5	5.5	48	50	-66.5	-35.5	-85	3.5	94.5	13.5	20.5	-21	16.5	59.5	-16	150.5	116.5	-46.5	-54
PLATE2	1	HC19-KC158	-23	-58	-55.5	-44	-46	-23.5	-38	-72	229	47	60	-51	-17.5	-64.5	22.5	79.5	40	19	-4	21.5	38	-25	137	120	-25	5
PLATE2	1	HC19-KC159	1359.5	-120.5	-116.5	-124	-83.5	-80.5	-135.5	-156.5	21.5	221.5	96.5	169.5	-101.5	-168.5	-84.5	56	107.5	-24.5	20.5	126.5	190.5	-58.5	231.5	231.5	-110	-139
PLATE2	1	HC19-KC160	-137	-123	-174	-174	-153	-130	-156	-181.5	-69	79	56	-148	-125	-191	290	478.5	470	30	-99.5	58	87	-26	258	203.5	-130.5	-87
PLATE2	1	HC19-KC161	-135	-168.5	-177.5	-158	-160	-131	-164	-184	-47	42.5	8	-173	-138	-202	-15.5	79	39	96	-84	-1	30	-68.5	268	121.5	-126	-97
PLATE2	1	HC19-KC162	-47	-13	-86.5	-84	-87	-53	-87	-112	-13	48	64.5	-28	-49	-119.5	12.5	762	93	78	-43	360	101.5	-31	183	150	-56	-51
PLATE2	1	HC19-KC163	-81.5	-99.5	-102	-91.5	-82.5	-78.5	-84.5	-109.5	28	14.5	35	-98.5	-64.5	-108.5	-12	161.5	133	7.5	-43.5	0.5	19	-25	185.5	133.5	-54.5	-1
PLATE2	1	HC19-KC164	-88.5	-119.5	-84	-145	-105.5	198	-186	-210.5	-30	91	792	23	-160	-220.5	-105	77	408	10.5	-132	508	7960	-38.5	302	458	-168	-144
PLATE2	1	HC19-NM057	-251	-280	-282.5	-283.5	-277	-225	-268	-301	-33	101	68	-56	-253	-310	-151	-14.5	-139	-50	706.5	39	596	-114	382	257.5	-269	-168.5
PLATE2	1	HC19-NM058	-126	-205	-212.5	-232	-203	-177.5	-219.5	-254.5	-106	107	146.5	-219.5	-190	-261.5	-79	535	475.5	123	57.5	52	375	-59	333	228	-187	-78
PLATE2	1	HC19-NM059	64	-72	-79	-91.5	-87	-28	-80	-107.5	113	75.5	73	-1	-53	-107	27	78	186	98	-38	29.5	-6	1	181	159	-62	-20
PLATE2	1	HC19-NM060	-31.5	-182	-200.5	-209.5	-204.5	-162.5	-199.5	-218.5	-102.5	94.5	347.5	279.5	-169	-234.5	16.5	219.5	2936	60.5	-109.5	148.5	2377.5	-16.5	298.5	133.5	-178.5	5.5
PLATE2	1	HC19-NM061	-228	-242	-249	-255.5	-240	-200	-235	-256.5	-205	49	104.5	-162	-214	-276	46	53	1654	23	-120	16	491.5	-75	344	141	-160	232
PLATE2	1	HC19-NM062	-80	-119	-133	-127	-118	-85.5	-102.5	-149	-48	36.5	45.5	-128	-88	-149.5	-46	49.5	1015	68	-79	32	484	10	221	163	-73	2045
PLATE2	1	HC19-NM063	10.5	-194.5	-171.5	-189	-188.5	-146.5	-165.5	-207.5	-114.5	102	97.5	-174.5	-160.5	-206.5	-34.5	97.5	884.5	60.5	-101.5	7	-30.5	-56.5	283.5	213.5	7.5	-113
PLATE2	1	HC19-NM064	-70	4006	-130	-133.5	-125	-100	-125.5	-148	-31	121	99	-122	-105	-137	-47	119	42.5	43	-63	150	147.5	-16	231	183	-54	-110
PLATE2	1	HC19-NM065	-46	98	-62	-54.5	-60	-31	-52	-81	-33	69	55	-65.5	-32.5	-91	-6	58	187.5	109	-23	48	62	-10	151	156.5	-3.5	-51
PLATE2	1	HC19-NM066	261	333	-3	-58	-56.5	44	-73.5	-83.5	148	128	104	-47.5	-44	-97	17	498.5	2612.5	333	-17	39	1953	-7	167	199.5	-68	-27
PLATE2	1	HC19-NM067	-175	-206	-217.5	-220	-213	-177.5	-215.5	-257.5	-102.5	94	71.5	-223	-200.5	-202	-68.5	61.5	3918.5	77.5	-0.5	39	24.5	-72.5	330.5	193.5	-129	213
PLATE2	1	HC19-NM068	-112	-162.5	-192.5	-176.5	-157	-123	-166	-190	162	88	79.5	-167	-118	-202	-86.5	72	260.5	199	-53	15	9	-65	274	190	-104	-114
PLATE2	1	HC19-NM069	100	-45	-29.5	2	-26	60	-24	-54	30	102	76	-28.5	6	-54	39.5	508	507	91	-2	17.5	770	-6.5	124	127	-25.5	-14
PLATE2	1	HC19-NM070	-169	-472	-478	-476.5	-487	-430	-483	-513	-383	191	89.5	-357	-466	-201	-145	203.5	458	-3.5	-140.5	32.5	59	-126.5	600	150	-463.5	-126
PLATE2	1	HC19-NM071	-12	-104	-109.5	-102.5	-105	-52	-89	-126	-3.5	67.5	196.5	-91	-72	-116.5	-12	92	43	47	-70	8	188.5	-28	194	130	20	-43
PLATE2	1	HC19-NM072	358	-242	-225	2851.5	-256	-201.5	-259.5	-292	-114	301.5	93	-44	-232	-299	-76	97.5	-14	55	-160	38	237	-83.5	368	174	-210.5	-131
PLATE2	1	HC19-NM073	-105.5	-221.5	-208.5	-216.5	-203.5	-178.5	-203.5	-224	-84.5	138.5	179	-199.5	-179.5	-234.5	-77.5	102.5	-29.5	7.5	-115.5	68.5	1517	-39.5	300.5	202.5	-136.5	-129
PLATE2	1	HC19-NM074	613	-327.5	-396	-407	-403	-300	-403	-413	-193	265	138.5	-372	-385	-396	-113	101	70	155	-232	156	854	13	528	243	-340	-123
PLATE2	1	HC19-NM075	-327	-443	-420.5	-395.5	-427	-394.5	-429	-462	-293	173	162	-423	-401	-329	-169	30	98	385	-312.5	35.5	270	-98	550	263.5	-320	-244
PLATE2	1	HC19-NM076	-909	-928	-968	-965.5	-951	-928	-954	-974.5	-813	143	175	-958	-913.5	-986.5	-565	-62.5	4152.5	-119	-724	-84	647.5	-223	1076	418.5	-858.5	3517.5
PLATE2	1	HC19-NM077	-631	-736.5	-770	-785	-756	-716	-783	-812	-664	762	256	-765.5	-745.5	-814.5	-595.5	51	-11	451	-599	196	514.5	-100.5	916	531	4	-598
PLATE2	1	HC19-NM078	-143	-183.5	-187	-211	-180	-152	-186.5	-221	-134	67	84	-172	-168	-215	-71	57	1583	-0.5	-66	16	14	-37	296	175	-102.5	796
PLATE2	1	HC19-NM079	-644	-727	-747	-744	-733	-696	-730.5	-788	-598	154.5	366	-750	-724	-780	-604.5	5.5	447.5	263	-519	47	254	-243	884	472.5	-508	-573
PLATE2	1	HC19-NM080	-204	-411.5	-460	529	-378	-354	-453	-460	-356.5	374.5	331	-428	-442	-487	-140	210	1611	72	2710	-2	1086.5	-133	587	292	-331	222
PLATE2	1	HC19-NM081	-153	-231	-257.5	-233	-251	-200	-234	-272	-158	119.5	101	-155.5	-231.5	-279	-117	69.5	-81	186	-148.5	-7	250.5	-59	351	298	-155.5	-77
PLATE2	1	HC-251K	-544.5	-665	-652	-663	-654.5	-573.5	-676.5	-669.5	-155.5	310.5	140	-630.5	-644.5	-707.5	-423	-4.5	9560	423	-501.5	61.5	687.5	64.5	806.5	544	-552	-164.5
PLATE2	1	HC-252K	131.5	-218.5	-246	-248.5	-235.5	-192.5	-237.5	-252.5	-179.5	115.5	111	-221.5	-198.5	-256.5	-83.5	79	-1.5	46.5	-126	89.5	134	-46.5	336.5	187.5	-185	-103
PLATE2	1	HC-253K	657	-203.5	-76	-211.5	95.5	-53.5	-193.5	-229.5	1158.5	544	133	-149	-189	-227	-117.5	100.5	-43.5	-5.5	-132.5	113.5	244.5	7	311.5	241.5	-173	-159.5
