Plate	Inplatecount	Sample	IgG1bindingaffinity_RBD alpha	IgG1bindingaffinity_N	IgG1bindingaffinity_RBD beta	IgG1bindingaffinity_RBD omicron	IgG1bindingaffinity_RBD lambda	IgG1bindingaffinity_RBD gamma	IgG1bindingaffinity_zebra	IgG1bindingaffinity_Eadp501	IgG1bindingaffinity_RBD delta	IgG1bindingaffinity_RBD wuhan	IgG1bindingaffinity_AMA1	IgG1bindingaffinity_MSP1	IgG1bindingaffinity_HRPII	IgG1bindingaffinity_Tetanus	IgG1bindingaffinity_HCoV-229E	IgG1bindingaffinity_HCoV-NL63	IgG1bindingaffinity_HCoV-OC43	IgG1bindingaffinity_pp28	IgG1bindingaffinity_pp65	IgG1bindingaffinity_EBNA1	IgG1bindingaffinity_VCA	IgG1bindingaffinity_FL spike	IgG1bindingaffinity_BSA	IgG1bindingaffinity_CelTos	IgG1bindingaffinity_CSP	IgG1bindingaffinity_HCoV-HKU1
PLATE1	1	HC-078K	13630	14337	6934	4987	5935	5633	1374	37	28151	9953	34698	67955	2062	21251	13697	35838	66609	35621.5	103	52330	40720	9969.5	133	136	297	2998
PLATE1	1	HC-079K	85497.5	12839.5	29750.5	3473	74857	25963.5	85.5	23.5	93675	71823.5	89717.5	58502	1800.5	14979.5	1229.5	36103	131232	9093.5	185.5	111227.5	70534.5	20831.5	176.5	237.5	1318.5	14032.5
PLATE1	1	HC-080K	45404.5	13481	42348	2346	39771	30327	351	44.5	54209	52031	6640	29848	213	2095.5	986	24237	43580	16007	451	54346	28924.5	16639.5	147	130.5	1487	51597.5
PLATE1	1	HC-081K	75040.5	17194.5	51409	5134.5	44350	31929.5	8983	46	61183.5	42856	25440	65403.5	306	2430	19361	24083	55070.5	2769	75	44486.5	26501	14397	164	167	6581	22486
PLATE1	1	HC-082K	4642	5193	1560	6661.5	1182.5	1496	5892	59	42866	2395.5	67215.5	18870	207	4402	2606.5	49230	69416.5	15657	157.5	78381	57966	5713.5	131	220	450	616
PLATE1	1	HC-083K	1529	78.5	71.5	30.5	80.5	68.5	52115.5	460.5	44.5	727.5	29510.5	38748.5	520	8474.5	1019	24595	39706.5	3386.5	125	27845.5	31609.5	129.5	142.5	117.5	962.5	8876.5
PLATE1	1	HC-084K	13323.5	100.5	5432.5	497	8338.5	3996.5	-41.5	-33.5	13899.5	10357.5	9327.5	25104.5	203.5	268.5	10803.5	14037.5	31707.5	4398.5	85.5	2063.5	12210.5	9827.5	317.5	173.5	525.5	18056
PLATE1	1	HC-085K	170	109	91.5	156	118	84	42.5	11	378	241	41438	80192	2895	241	24729	28311	47859	2611	48	51394	52192.5	111	202	214	533	9141
PLATE1	1	HC-086K	190.5	281	80.5	95.5	179.5	166.5	256.5	69.5	178.5	197.5	8995.5	23966.5	330.5	273	721.5	9009	33490	62755	299	79486.5	15729.5	104.5	120.5	150.5	284	2050.5
PLATE1	1	HC-087K	2190.5	73.5	675.5	59	1970	962	1032.5	11.5	8718	3023	10443	21795	1259	8821	2726	4985	12383	3789	44	14084	9679	2577	103	373	236	264.5
PLATE1	1	HC-088K	1324	520	393	1118	365.5	494	16908	43	4565	1177.5	46869	59243.5	291.5	1833	874	25268	49629	1576	118	48865	43972	1516	188	191.5	25564	16215.5
PLATE1	1	HC-089K	3316.5	976	529	1187	382	542.5	832	12.5	4764.5	1701.5	34383.5	120490.5	1238.5	814	7621	28578	48046.5	5698.5	194.5	66887.5	57877.5	1118.5	128.5	165.5	752.5	490
PLATE1	1	HC-090K	1521	161	876	954	582	1175	69.5	6.5	5704.5	1306	43903.5	87573	1106	3515	32807	34072.5	69713.5	12667	138.5	52241	23055.5	854	131	143	116	1539
PLATE1	1	HC-091K	1793	143	359	103.5	1342	617	6731.5	5	2960	1849	38420	31577	4340	15162	970	19237	8681	382	35	38990	51239	1125.5	129	166	370	2864
PLATE1	1	HC-092K	7072	706	710.5	179.5	2374	1666	62	32	8236	3530.5	53314.5	70958	928.5	284	1315	22372.5	20798.5	1215	121	43631.5	33048	3609.5	141	141	473.5	65780
PLATE1	1	HC-093K	12965.5	1444	2028.5	54.5	8772	3171	6343	46	39550	13473	58961	77916	809	485	304	5639	11874	2888.5	102	60444	49734.5	4161	208	253	570	25157
PLATE1	1	HC-094K	1145.5	2177	302.5	1361	509	1224.5	59.5	31.5	3946.5	1655.5	20305	35017.5	836.5	459.5	839.5	15831.5	26577.5	858.5	62.5	30056	17772.5	2177.5	64.5	165.5	323.5	47072.5
PLATE1	1	HC-095K	59	252	65	60	63	73.5	64	31	93	98	38755.5	49841	5960	4185.5	767	6016.5	14375.5	6284.5	73	35038	35836	38	67	117	172	15770
PLATE1	1	HC-096K	2845	5721	932	880.5	703	935.5	83.5	35	5929.5	2733.5	56798	103239	1430	1029.5	6774.5	27840.5	103775.5	1796	104	76529	81832.5	6561	101.5	199.5	2594	4920.5
PLATE1	1	HC-097K	5137	13348.5	4589	3443	1590	5231	88.5	40.5	13887.5	3855	31157	73332.5	915.5	818	2468	26332.5	55062	1878	103	43269	39597	4931	70	195.5	11833.5	3008.5
PLATE1	1	HC-098K	27920	12028	17314	2268	31604	16584	47	-15	25845	18568	10786	16015	1859.5	1491	1845	1824	28251	11400	46	20256	20735	11801	136	226	221	21032
PLATE1	1	HC-099K	31939	21708.5	20579.5	2054	20294	13776	88.5	33	33615	40994.5	11480.5	31026.5	665.5	1109.5	2513.5	2564.5	21400.5	643.5	44.5	49696.5	37459	13354.5	86.5	288.5	225.5	1359.5
PLATE1	1	HC-100K	72193	22022	37522	7021	59966.5	35104	705	74.5	104287	68635	107890.5	137384	4040	10395.5	23482	23015	57263.5	11156	356.5	133848	117744.5	14344	206	276	5331	36016
PLATE1	1	HC19-KC005	77	503.5	50	25.5	53	65	21	26	68	119	29695.5	51912.5	403	1377	62154.5	66499	97293	16206	66	552	54729	75	197	222.5	247.5	283.5
PLATE1	1	HC19-KC006	209.5	319	185.5	186	267	307	3165	20.5	227.5	1818	70524.5	90642.5	1066	8236	42581.5	71870	140254.5	31963.5	125	28280	96938	118	529	178	9241	46573.5
PLATE1	1	HC19-KC007	1702	88.5	816.5	811.5	1137.5	1914	5071.5	56.5	673.5	266.5	59749.5	72443.5	18293	961.5	1269.5	10690.5	34556	380	87.5	71212	55484.5	66.5	103.5	234	642.5	5453.5
PLATE1	1	HC19-KC008	218	437.5	102	9	159.5	164	219	126	335	1912.5	124973.5	184017	13410	43279.5	4783	4625	97658.5	21975	3449.5	141464.5	106782	875	265	1876.5	5109	59770.5
PLATE1	1	HC19-KC012	116.5	72	63	78.5	74	94	32	34	117.5	524	73669	96913	9245	217	22130.5	35383	74764	15847	183.5	65184	55695	234	121	218	455	26498.5
PLATE1	1	HC19-KC015	831	317	1158.5	249	573	2796.5	213	217	675	2266	125235	27426	440.5	47271	46222	75145	80893	19853	257	142092	5389.5	333	174	368	28110.5	16186
PLATE1	1	HC19-KC016	120	385	49.5	168.5	88.5	91.5	99	37	202.5	151.5	16255	35332	14861.5	445	29025	39837	54550	1640.5	63	31032	26938	42	126	488	2191	5257
PLATE1	1	HC19-KC017	2853	126	68	66.5	12144	92	77	104	652.5	577	43384	38822	309	20779	23196.5	34009	68623	600.5	166.5	42791	33963	106	115	216	10860	32823
PLATE1	1	HC19-KC019	155	2200	86	61	121	147	134.5	103.5	124	364.5	115676	194701.5	2489.5	235	68710.5	78781	81997	13269.5	241	132054	109038	1003	153	282	2658	1991
PLATE1	1	HC19-KC021	92.5	3780.5	84.5	19.5	84.5	71.5	46	23.5	239	448.5	82274.5	109053.5	265.5	527.5	3372	42242.5	83198	8314.5	83.5	102963	28123.5	96.5	229.5	116.5	52826.5	44455.5
PLATE1	1	HC19-KC022	1693	278	271.5	43	193	411.5	254	40	351	1634	35024	46794.5	1653	4275	45198	68646	72752	24475	2603	157309	131009	531.5	217	487.5	5345	11455
PLATE1	1	HC19-KC024	348	364	139	-6	128	-38	-58.5	-34.5	162	753	78388	153627	1361	8539	990	10942	77076.5	13664	201	1152	919.5	68	911	498	5021	1517.5
PLATE1	1	HC19-KC025	573	329.5	102.5	49	126	193	64	76	199	443	68661.5	22745	724	470.5	14636	30831	62218	13300	101	72448	44973	67	122	1120	1105.5	67350
PLATE1	1	HC19-KC026	4735	1518	76	44	5065.5	188	177	25	3518.5	611.5	46798.5	97266	1283	227.5	58512	86111.5	137765	6535.5	232	878	85199	288	133	1364	27718	28950
PLATE1	1	HC19-KC027	31	40.5	26	17.5	32	55	49.5	12	58.5	77.5	20458	17196	391	3260	28966	33300	49700	799	46	46644	27438	32.5	94	118	832	4628
PLATE1	1	HC19-KC028	611.5	844	73	13.5	384	85	23	-6.5	329	877	49685	4573	179	1478	21389.5	15791	32703	355	114	59174	33319	276	132	107	10290	41747
PLATE1	1	HC19-KC029	251	146	74	54.5	149	96	11723	27	543.5	265	36205	11795	309	359	1706	34882	45991	14145	175	33765	24709	82	131	615	16108	46014
PLATE1	1	HC19-KC030	89.5	6.5	-18	-29	-4	-39.5	-11	-71	359.5	814	51023	40895.5	445.5	18016.5	2882	29102	66625	2067	2570.5	55824.5	38797	371	277	214	26091	3005
PLATE1	1	HC19-KC033	53	28.5	36.5	27.5	23.5	45.5	141.5	14.5	104	256.5	50278	45807.5	4048.5	29304.5	1602.5	16804.5	44005.5	19815.5	77.5	64762.5	36580.5	168.5	120.5	339.5	2652	31677
PLATE1	1	HC19-KC035	101	70.5	61	32	33.5	39	151.5	17	74	329	42473	93465	3568	29426	1606	17484.5	41081.5	22081	137	77566.5	55486	214	136	353	3768	27943
PLATE1	1	HC19-KC036	112	4941	87	109.5	103	167.5	7078	60	98	245.5	36866	47085	434	52844.5	14615	22119.5	52445	1261.5	102	60018	17865	84	109	263	12095.5	26328
